Experiment,SRC_id,HRC_id,File,PVS_id,Tester_id,Score,Is_training,Exp_type,Exp_design
9.0,218.0,110.0,newsdriving1_poorplus,9000.0,9001.0,3.0,True,video,hrc_by_quality
9.0,219.0,111.0,newsbottledwater_original,9001.0,9001.0,4.0,True,video,hrc_by_quality
9.0,220.0,112.0,newsdogpark_goodminus,9002.0,9001.0,5.0,True,video,hrc_by_quality
9.0,219.0,113.0,newsbottledwater_poorminus,9003.0,9001.0,1.0,True,video,hrc_by_quality
9.0,221.0,110.0,thefoot01_poorplus,9004.0,9001.0,3.0,False,video,hrc_by_quality
9.0,222.0,110.0,nightlights2_poorplus,9005.0,9001.0,4.0,False,video,hrc_by_quality
9.0,223.0,110.0,walkwayever4_poorplus,9006.0,9001.0,3.0,False,video,hrc_by_quality
9.0,224.0,110.0,parrot_poorplus,9007.0,9001.0,2.0,False,video,hrc_by_quality
9.0,225.0,114.0,walkwaybver4_goodplus,9008.0,9001.0,5.0,False,video,hrc_by_quality
9.0,224.0,114.0,parrot_goodplus,9009.0,9001.0,5.0,False,video,hrc_by_quality
9.0,226.0,114.0,horses_goodplus,9010.0,9001.0,4.0,False,video,hrc_by_quality
9.0,221.0,114.0,thefoot01_goodplus,9011.0,9001.0,4.0,False,video,hrc_by_quality
9.0,227.0,114.0,flamenco4_goodplus,9012.0,9001.0,5.0,False,video,hrc_by_quality
9.0,228.0,111.0,redkayak_original,9013.0,9001.0,5.0,False,video,hrc_by_quality
9.0,229.0,110.0,bluespruce2a_poorplus,9014.0,9001.0,2.0,False,video,hrc_by_quality
9.0,230.0,111.0,denver_original,9015.0,9001.0,5.0,False,video,hrc_by_quality
9.0,221.0,113.0,thefoot01_poorminus,9016.0,9001.0,1.0,False,video,hrc_by_quality
9.0,231.0,113.0,zoocuts_poorminus,9017.0,9001.0,1.0,False,video,hrc_by_quality
9.0,232.0,112.0,aspen_goodminus,9018.0,9001.0,5.0,False,video,hrc_by_quality
9.0,233.0,112.0,rosepath_goodminus,9019.0,9001.0,5.0,False,video,hrc_by_quality
9.0,228.0,112.0,redkayak_goodminus,9020.0,9001.0,4.0,False,video,hrc_by_quality
9.0,233.0,111.0,rosepath_original,9021.0,9001.0,4.0,False,video,hrc_by_quality
9.0,221.0,111.0,thefoot01_original,9022.0,9001.0,5.0,False,video,hrc_by_quality
9.0,233.0,112.0,rosepath_goodminus,9019.0,9001.0,3.0,False,video,hrc_by_quality
