Experiment,SRC_id,HRC_id,File,PVS_id,Tester_id,Score,Is_training,Exp_type,Exp_design
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20001.0,4.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20002.0,4.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20003.0,4.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20004.0,5.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20005.0,4.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20006.0,3.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20007.0,4.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20008.0,4.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20009.0,4.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20010.0,4.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20011.0,5.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20012.0,4.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20013.0,3.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20014.0,3.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20015.0,5.0,False,img,nr
20.0,200000.0,200000.0,its4s2_Aerial001-airplanes_blur,200000.0,20016.0,4.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20001.0,3.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20002.0,3.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20003.0,3.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20004.0,3.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20005.0,4.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20006.0,2.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20007.0,3.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20008.0,1.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20009.0,2.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20010.0,3.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20011.0,4.0,False,img,nr
20.0,200001.0,200000.0,its4s2_Aerial002-airplanes_blur,200001.0,20012.0,1.0,False,img,nr
