Experiment,SRC_id,HRC_id,File,PVS_id,Tester_id,Score,Is_training,Exp_type,Exp_design
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8001.0,3.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8002.0,3.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8003.0,3.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8004.0,4.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8005.0,4.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8006.0,2.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8007.0,3.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8008.0,4.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8009.0,3.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8010.0,4.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8011.0,2.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8012.0,3.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8013.0,4.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8014.0,3.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8015.0,2.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8016.0,2.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8017.0,3.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8018.0,4.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8019.0,4.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8020.0,2.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8021.0,4.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8022.0,4.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8023.0,4.0,False,video,classic
8.0,97.0,103.0,Everglades_001-Esrc33F_1256K,7201.0,8024.0,3.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8001.0,5.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8002.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8003.0,5.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8004.0,5.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8005.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8006.0,3.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8007.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8008.0,5.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8009.0,3.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8010.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8011.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8012.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8013.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8014.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8015.0,3.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8016.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8017.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8018.0,5.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8019.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8020.0,3.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8021.0,4.0,False,video,classic
8.0,98.0,103.0,Everglades_002-Esrc33G_1256K,7202.0,8022.0,4.0,False,video,classic
